 0.3909964	1.1393932259e-02	-1.7028307596e-02	3.3337068863e-02	-2.4466012153e-02	1.4862816578e-02	7.5671815345e-02	2.0299400000e+05
 0.6641646	1.8752309502e-03	-7.1126767125e-03	2.8485369123e-02	2.5335081152e-02	9.0205272594e-03	4.8559202289e-02	4.7172600000e+05
  1.128181	-1.1528484935e-02	1.5368764957e-02	-6.4690952273e-02	6.9971889775e-02	5.4871076435e-03	3.2916907121e-02	1.1256100000e+06
  1.916381	6.0971518454e-03	-1.3871800759e-02	-6.2399501613e-02	4.5407187133e-02	3.3562867928e-03	2.3131662997e-02	2.7784980000e+06
  3.255253	3.0034876303e-03	-6.6396085389e-03	1.9345121222e-02	1.4237240291e-02	2.0407680593e-03	1.6647762302e-02	7.1304000000e+06
  5.529524	-1.2748423277e-03	2.0908984851e-03	2.7042471799e-02	-8.3302714479e-03	1.2601010105e-03	1.2641119978e-02	1.8060178000e+07
  9.392707	7.3548260458e-04	-1.8447157657e-03	-3.5563745368e-02	-3.4248353933e-02	8.0354423425e-04	1.0335694933e-02	4.3426898000e+07
  15.95489	1.5698863123e-03	4.9691603211e-05	-1.1561490710e-02	4.2387672233e-02	5.3789446450e-04	9.6702540676e-03	9.5622112000e+07
  27.10171	-5.4233088684e-04	-3.5575418174e-04	1.0414805915e-02	4.1519213038e-02	3.9913501079e-04	1.0747400502e-02	1.7290089200e+08
  46.03623	-7.8963657800e-04	-6.4140886513e-04	1.8669548599e-02	5.5107045427e-02	3.4911237724e-04	1.2985151471e-02	2.2578835400e+08
